TOWN,PCODE
"BOEKENHOUTFONTEIN, Rustenburg",0299
"BOEKENHOUTKLOOF, Pretoria",0082
"BOELANG, Phalaborwa",1390
BOESMANSKOP (Wednesday & Friday Only),9951
BOESMANSRIVIERMOND (Mornings Only),6190
"BOETRAND, Klerksdorp",2570
BOGGOMS BAY ( Tuesday & Thursday only),6511
"BOHLOKONG, Theronville",9702
"BOICHOKO, Postmasburg",8420
BOIKANYO,2625
BOIKETLO,2537
"BOIKHUTSONG, Wolmaransstad (Tuesday & Thursday)",2630
"BOIKUTSO, Lichtenburg ( Tuesday & Thuraday Only)",2740
BOIPATONG,1901
BOITEKONG,0308
"BOITUMELONG, Bloemhof",2662
BOK IMPLEMENT,9700
BOKKEMANSKLOOF,7806
"BOKMAKIERIE, Athlone",7764
BOKNESSTRAND (Tuesday & Friday Only),6189
BOKSBURG,1459
BOKSBURG Boxes,1460
"BOKSBURG EAST, Boksburg",1459
BOKSBURG NORTH Boxes,1461
"BOKSBURG NORTH, Boksburg",1459
"BOKSBURG SOUTH, Boksburg",1459
"BOKSBURG WEST, Boksburg",1459
BOKSBURG-NOORD Busse,1461
"BOKSBURG-NOORD, Boksburg",1459
"BOKSBURG-OOS, Boksburg",1459
"BOKSBURG-SUID, Boksburg",1459
"BOKSBURG-WES, Boksburg",1459
BOLEU,0474
BOLIVIA - La Paz,Z009
BOLIVIA - Other Areas,Z009
BOLO RESERVE,4935
"BOLOKANANG, Petrusburg",9932
"BOLTONIA, Krugersdorp",1739
"BOMBAL Est/Lgd, Ottery",7800
"BOMBAY HEIGHTS, Pietermaritzburg",3201
BON ACCORD,0009
"BON ESPERANCE FARM, Stellenbosch",7600
"BONAERO PARK & Ext, K",1619
BONAERO PARK Boxes,1622
BONAERO PARK Ext 1 -,1619
BONAIRE,Z009
BONELA,4091
"BONGOLETHU, Bridgmanville",6621
BONGWENI ( Special Trip ),5321
"BONGWENI, Colesberg",5980
"BONGWENI, Khayelitsha",7784
"BONGWENI, Randfontein",1760
BONISANI,0927
"BONNIE BRAE, Kraaifontein",7570
"BONNIE DOONE, East London",5241
"BONNIEBROOK, Kraaifontein",7570
BONNIEVALE (Serviced Tues & Thurs Only),6730
"BONNIEVALE, Boksburg",1459
"BONNY BROOK, Kraaifontein",7570
BONQUINAR INDUTRIAL AREA,7490
BONTHEUWEL Boxes,7763
BONTHEUWEL Streets,7764
"BONZA BAY, East London",5241
"BONZABAAI, Oos-Londen",5241
BOONS,2807
"BOORDFONTEIN WEST, Pretoria",0201
"BOORDFONTEIN, Pretoria",0201
"BOORDFONTEIN-WES, Pretoria",0201
"BOOTH AANSLUITING, Durban",4094
"BOOTH JUNCTION, Durban",4094
BOOYSENDAL,1120
BOOYSENS Boxes,2016
"BOOYSENS PARK, Port Elizabeth",6059
"BOOYSENS RESERVE, Johannesburg",2091
"BOOYSENS, Johannesburg",2091
"BOOYSENS, Pretoria",0082
BOPHELONG,1911
BOPHUTHATSWANA,9997
"BORDEAUX, Randburg",2194
"BOROLELO, Swartruggens",2835
BOS EN DAL,6529
"BOSBELL Est/Lgd, Bellville",7530
BOSBOKRAND,1280
"BOSBOKRAND FARM, Mosselbay",6500
"BOSCHDAL, Rustenburg",0299
"BOSCHENDAL, Retreat",7785
"BOSCHFONETIN, Rustenburg",0323
"BOSCHFONTEIN, Heidelburg",1441
"BOSCHFONTEIN, Newcastle",2940
"BOSCHKOP, Pretoria East",0040
"BOSCHKOP, Pretoria East",0040
"BOSCHOEK, Pretoria",0184
BOSCHPOORT (Mondays & Wednesdays),2730
BOSHOEK,0301
BOSHOF (Wednesday's Only),8340
"BOSJESPRUITFARM, Secunda (Monday & Wednesday)",2302
BOSKOP,2528
"BOSKRUIN & Ext, Bromh",2154
"BOSMONT, Johannesburg",2093
"BOSONIA, Kuilsrivier",7580
"BOSPOORT (Monday,Wednesday & Friday)",2730
"BOSTON Est/Lgd, Bellville, Cape Town",7530
"BOSTON, Kwazulu Natal",3211
